,rouge1,rouge2,rougeL,rougeLsum
alpha_0.0,46.88492183225896,16.12121846209866,20.715560821285646,20.72450624990556
alpha_0.3,46.28770992829535,15.947158782753174,21.355017886526497,21.287383725474122
alpha_0.5,46.901236322417944,16.36914269422439,21.493844943996226,21.419046099648746
alpha_0.7,46.722790864220386,16.400437501997324,21.48164925677742,21.409646471357068
alpha_1.0,45.83902876111662,15.690996824123191,21.226237025256374,21.292839826352093
