sample_id,bartscore_doc2sum,bartscore_sum2doc
0,-0.7876439094543457,-3.5410001277923584
1,-1.8623290061950684,-4.010538101196289
2,-1.2479168176651,-3.919753074645996
5,-0.762535035610199,-3.713898181915283
7,-2.8105268478393555,-3.9167654514312744
8,-2.573152780532837,-4.381771564483643
10,-1.0996146202087402,-2.536010503768921
11,-2.1142630577087402,-3.990187883377075
15,-1.6445790529251099,-3.2812037467956543
16,-1.7952723503112793,-3.5290157794952393
18,-1.7214385271072388,-3.6196646690368652
19,-1.4108604192733765,-3.764199733734131
20,-3.4720911979675293,-3.810360908508301
22,-2.0871784687042236,-3.798246145248413
24,-2.2619364261627197,-3.8644394874572754
25,-1.8960282802581787,-3.5720348358154297
28,-2.7274036407470703,-3.9953231811523438
30,-1.4702839851379395,-4.083076000213623
31,-1.7144581079483032,-3.8576931953430176
32,-0.5210303068161011,-2.422438383102417
34,-2.654956579208374,-4.056401252746582
35,-2.010448694229126,-3.302839994430542
36,-3.1805639266967773,-4.0583038330078125
39,-1.2749172449111938,-3.702085494995117
40,-0.9564105272293091,-4.146265029907227
41,-0.7309554219245911,-3.3946638107299805
42,-1.033505916595459,-3.49735164642334
43,-2.348984479904175,-4.001669406890869
44,-1.562869906425476,-3.166670560836792
47,-1.1564123630523682,-3.7915399074554443
49,-2.7389304637908936,-5.041512489318848
51,-2.725013494491577,-3.7334628105163574
52,-1.1336697340011597,-3.9849863052368164
54,-2.3651511669158936,-3.845832347869873
55,-1.368860125541687,-4.083892822265625
56,-1.4567840099334717,-3.566779375076294
59,-1.243260383605957,-3.2493932247161865
60,-1.3233771324157715,-3.4722890853881836
61,-0.5475805401802063,-3.56298828125
65,-0.45208945870399475,-2.936995029449463
69,-1.6195712089538574,-4.10622501373291
71,-1.90067720413208,-3.3878307342529297
72,-2.7596967220306396,-4.223269462585449
73,-1.1252936124801636,-3.607637882232666
74,-1.4587101936340332,-3.1589841842651367
75,-1.840357780456543,-3.785602569580078
78,-2.072051525115967,-3.580589532852173
80,-1.2115747928619385,-3.385007381439209
81,-1.0942715406417847,-2.854058027267456
82,-1.8739278316497803,-3.593740940093994
84,-3.8035953044891357,-4.246103286743164
85,-2.0889594554901123,-4.6128387451171875
86,-1.2866504192352295,-3.9490206241607666
87,-1.9352678060531616,-3.399441957473755
88,-3.0197715759277344,-4.049622058868408
90,-1.2206259965896606,-3.5674848556518555
