sample_id,bartscore_doc2sum,bartscore_sum2doc
0,-0.9197859168052673,-3.1761882305145264
1,-1.0434496402740479,-3.8497421741485596
2,-1.0973862409591675,-3.786379337310791
5,-0.4963088929653168,-2.9961118698120117
7,-0.8756025433540344,-3.032573938369751
8,-1.8923166990280151,-3.8441507816314697
10,-0.7324278950691223,-2.4489588737487793
11,-1.4450491666793823,-3.577380418777466
15,-1.0843340158462524,-3.22921085357666
16,-1.2013691663742065,-2.97979474067688
18,-0.8276388049125671,-3.1593165397644043
19,-1.874812364578247,-3.653352737426758
20,-2.0984725952148438,-3.532184600830078
22,-0.9804700016975403,-3.4737741947174072
24,-1.5747828483581543,-3.6289114952087402
25,-1.1577682495117188,-3.2326464653015137
28,-1.3937348127365112,-3.2269740104675293
30,-2.01393985748291,-4.137729644775391
31,-1.1034836769104004,-3.69075870513916
32,-0.5380045771598816,-2.322948455810547
34,-1.4554345607757568,-3.728407621383667
35,-2.0950822830200195,-3.7900965213775635
36,-1.9380098581314087,-3.8273794651031494
39,-0.6025158762931824,-3.3014183044433594
40,-1.17129647731781,-3.8696396350860596
41,-0.7919965386390686,-2.9383792877197266
42,-1.0954866409301758,-3.041135787963867
43,-1.114749789237976,-3.475393772125244
44,-1.8569039106369019,-3.566862106323242
47,-1.3171918392181396,-3.5010154247283936
49,-1.2403229475021362,-4.0757598876953125
51,-0.8619769811630249,-3.4208743572235107
52,-1.1826128959655762,-3.5677976608276367
54,-0.881798505783081,-3.373223304748535
55,-1.034040927886963,-3.8440194129943848
56,-1.5067745447158813,-3.2299585342407227
59,-1.5326491594314575,-2.7804887294769287
60,-1.6059399843215942,-2.9058170318603516
61,-1.9569898843765259,-3.844545841217041
65,-0.781432569026947,-2.67329740524292
69,-1.2212146520614624,-3.701845645904541
71,-1.1712749004364014,-2.9372310638427734
72,-1.1950103044509888,-3.564037561416626
73,-1.1739544868469238,-3.630427598953247
74,-1.1283513307571411,-2.978727340698242
75,-0.7261452078819275,-3.0960986614227295
78,-1.8742923736572266,-3.32146954536438
80,-0.584887683391571,-3.3317906856536865
81,-1.6588211059570312,-3.666538715362549
82,-0.9760902523994446,-3.238354206085205
84,-1.4191726446151733,-3.44366455078125
85,-0.8656973838806152,-3.4660658836364746
86,-1.2577310800552368,-3.609506845474243
87,-1.058527946472168,-2.694626808166504
88,-0.6954832077026367,-3.1693615913391113
90,-0.8096128106117249,-3.0042848587036133
91,-1.5753207206726074,-4.009977340698242
92,-1.0020233392715454,-2.5251359939575195
95,-2.0786802768707275,-3.980846881866455
96,-1.428162932395935,-3.0584006309509277
97,-2.245863914489746,-2.901944160461426
98,-1.8066987991333008,-3.6316475868225098
99,-1.854970932006836,-3.426429271697998
101,-1.783272624015808,-3.3533012866973877
102,-1.457090139389038,-3.187211513519287
104,-1.0638405084609985,-3.2695679664611816
105,-1.461028814315796,-3.245424747467041
108,-1.0427597761154175,-2.59830379486084
111,-1.5666595697402954,-3.022489070892334
113,-1.4554847478866577,-3.3389687538146973
117,-1.5708879232406616,-3.2391042709350586
118,-0.9864749908447266,-2.5172739028930664
119,-1.7112553119659424,-3.4481961727142334
122,-0.9693674445152283,-3.5679283142089844
123,-2.7238454818725586,-4.098324775695801
126,-1.6802794933319092,-3.3091182708740234
128,-1.441887617111206,-3.0225894451141357
130,-0.4541766047477722,-2.365021228790283
133,-1.3604894876480103,-3.402324676513672
135,-0.8651939630508423,-3.1070809364318848
136,-1.6990151405334473,-3.2558655738830566
139,-1.6655362844467163,-2.550501823425293
140,-1.1384249925613403,-3.3141493797302246
143,-0.9299691319465637,-2.675762176513672
144,-0.6087135076522827,-3.1657164096832275
145,-0.8101698160171509,-3.2893784046173096
146,-2.2347960472106934,-3.872497081756592
147,-0.9345356225967407,-3.2072291374206543
155,-1.1105678081512451,-3.6006417274475098
157,-1.4989463090896606,-3.261995553970337
162,-1.8586639165878296,-3.229907512664795
163,-1.5621206760406494,-3.748206853866577
165,-0.5703132152557373,-3.0159075260162354
167,-1.6033647060394287,-3.683713436126709
175,-2.1274304389953613,-3.884718894958496
176,-1.575014591217041,-3.2451894283294678
177,-1.2069185972213745,-3.610997438430786
180,-0.5550752282142639,-3.0832138061523438
182,-0.4625857472419739,-3.525912284851074
183,-0.604248583316803,-1.6412878036499023
184,-1.5761032104492188,-3.282805919647217
188,-1.1701462268829346,-3.5324935913085938
189,-2.196401357650757,-4.28969669342041
191,-1.119208812713623,-2.8640029430389404
194,-1.6173205375671387,-3.785391330718994
196,-1.520133376121521,-3.3240840435028076
197,-0.822105884552002,-3.7848448753356934
201,-1.2304528951644897,-3.5938053131103516
202,-1.005816102027893,-3.0999746322631836
206,-1.2446632385253906,-3.9223995208740234
208,-1.3885704278945923,-3.698848247528076
212,-0.5355468988418579,-3.1975226402282715
214,-0.8969257473945618,-2.907498598098755
216,-1.2895302772521973,-3.5494985580444336
221,-1.0413477420806885,-3.473954200744629
223,-1.8422499895095825,-4.040119171142578
224,-1.1031540632247925,-3.3326215744018555
225,-2.0340487957000732,-3.3443870544433594
228,-1.856420636177063,-3.8847038745880127
230,-1.6774346828460693,-3.792158603668213
232,-1.2325341701507568,-3.646230697631836
233,-0.9893468618392944,-2.935497999191284
238,-0.7264085412025452,-2.5423552989959717
239,-1.2502681016921997,-2.982985496520996
241,-1.696881890296936,-3.1072983741760254
243,-1.8805983066558838,-3.4748754501342773
248,-0.9418520331382751,-3.20811128616333
250,-2.2413458824157715,-3.762119770050049
253,-1.32496976852417,-3.5576353073120117
256,-1.4145349264144897,-3.5976314544677734
263,-1.3094933032989502,-3.3410778045654297
264,-1.6031908988952637,-2.534149646759033
266,-0.5334692001342773,-1.8540219068527222
270,-0.8521679043769836,-2.312314987182617
271,-0.6657096743583679,-2.4319663047790527
272,-1.0696280002593994,-3.776761531829834
274,-0.9580056071281433,-2.545407295227051
279,-1.4362900257110596,-3.5926876068115234
280,-2.0978798866271973,-4.73177433013916
281,-1.7739287614822388,-3.1882896423339844
