model,alignscore_mean,alignscore_std,alignscore_min,alignscore_max,alignscore_median
PRIMERA,0.6974665517640766,0.191670932259279,0.0006602039793506265,0.9987406730651855,0.7328118085861206
PEGASUS,0.7624772797320039,0.14844118317374305,0.0012313371989876032,0.9950625896453857,0.7857970297336578
BART,0.9190377205848694,0.09689718744649015,0.09696625173091888,0.9992126226425171,0.9591275453567505
TreeSum,0.6817609440217726,0.16498965373676852,0.0013413233682513237,0.9961860179901123,0.7030330002307892
