sample_id,bartscore_doc2sum,bartscore_sum2doc
0,-0.5895957350730896,-3.427706241607666
1,-0.28891560435295105,-3.6594531536102295
2,-0.4589696526527405,-3.9104971885681152
5,-0.3854604959487915,-3.6488654613494873
7,-0.4354971647262573,-3.357393503189087
8,-0.318135142326355,-2.9151031970977783
10,-0.5264980792999268,-2.6092019081115723
11,-0.2685359716415405,-3.386373519897461
15,-0.33044329285621643,-3.316955327987671
16,-0.3608543872833252,-3.1723122596740723
18,-0.3688083291053772,-3.471615791320801
19,-0.24090386927127838,-3.671067237854004
20,-0.38437050580978394,-3.2519569396972656
22,-0.39493533968925476,-3.546536445617676
24,-0.42618328332901,-3.815612316131592
25,-0.3942512571811676,-3.4217002391815186
28,-0.7191439867019653,-3.9566824436187744
30,-0.23330533504486084,-3.885901927947998
31,-0.4365408718585968,-3.755335807800293
32,-0.20674355328083038,-2.5724737644195557
34,-0.41109710931777954,-3.515326976776123
35,-0.5983164310455322,-2.330599069595337
36,-0.3121272921562195,-3.8775076866149902
39,-0.3054543435573578,-3.5004897117614746
40,-0.6220721006393433,-3.9340527057647705
41,-0.3284696936607361,-3.382784128189087
42,-0.5038966536521912,-3.4987661838531494
43,-0.5144175291061401,-3.7343478202819824
44,-0.4994218647480011,-2.769737482070923
47,-0.2844730019569397,-3.7581558227539062
49,-0.39493271708488464,-3.986382007598877
51,-0.3628653287887573,-3.4634149074554443
52,-0.3718069791793823,-3.958674907684326
54,-0.5953250527381897,-3.766859531402588
55,-0.2320822924375534,-3.868145704269409
56,-0.3453300893306732,-3.6864733695983887
59,-0.35465946793556213,-3.2113871574401855
60,-0.37290850281715393,-3.5210530757904053
61,-0.23037602007389069,-3.673827886581421
65,-0.3369419276714325,-3.2340123653411865
69,-0.3022024929523468,-3.5353426933288574
71,-0.3853488564491272,-3.1518726348876953
72,-0.6000434160232544,-3.869271993637085
73,-0.4507366418838501,-3.560068368911743
74,-0.3533928394317627,-3.1522223949432373
75,-0.26390770077705383,-3.535738945007324
78,-0.4301525056362152,-3.078645706176758
80,-0.3892872631549835,-3.253246307373047
81,-0.3946636915206909,-2.440765619277954
82,-0.31547772884368896,-3.3057923316955566
84,-0.3739676773548126,-3.8638837337493896
