alpha,num_samples,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
0.0,100,45.26121935503541,16.011219219350608,22.460767867448148,22.39925399050051,64.52934741973877,62.7173125743866,63.55358362197876
0.1,100,45.48342241543503,16.177681308651692,22.535366023471724,22.487415534113442,64.76228833198547,62.87442445755005,63.75049352645874
0.2,100,45.41276429010074,16.141287036462387,22.430858925162184,22.373876680131914,64.69816565513611,62.82736659049988,63.695669174194336
0.3,100,45.02339320050063,15.803777429671955,22.239977224119293,22.18337985211346,64.4602358341217,62.628185749053955,63.478416204452515
0.4,100,45.25465762757249,15.84074009091729,22.267701593396644,22.21935454439505,64.46620225906372,62.60617971420288,63.4669303894043
0.5,100,45.31231841678303,15.71123186172948,22.182994351945105,22.13195299240881,64.37739729881287,62.62516975402832,63.43897581100464
0.6,100,45.36232119461213,15.782538445351818,22.129169220715017,22.09310997408664,64.38151597976685,62.617307901382446,63.43572735786438
0.7,100,45.154602914089665,15.599322382803463,21.97793380766438,21.906659316016043,64.23463225364685,62.509310245513916,63.30938935279846
0.8,100,45.250724102271825,15.635521201940971,22.078062720442976,22.033541952593446,64.35285806655884,62.579554319381714,63.40365409851074
0.9,100,45.72620272215664,16.32876864058582,22.698244988606834,22.672747435160463,64.82594013214111,62.8895103931427,63.79113793373108
1.0,100,45.810875233440804,16.528916354299025,22.677483546852166,22.65417864484374,64.86496925354004,62.995558977127075,63.860976696014404
