alpha,bertscore_precision,bertscore_recall,bertscore_f1
0.0,64.52934741973877,62.7173125743866,63.55358362197876
0.1,64.76228833198547,62.87442445755005,63.75049352645874
0.2,64.69816565513611,62.82736659049988,63.695669174194336
0.3,64.4602358341217,62.628185749053955,63.478416204452515
0.4,64.46620225906372,62.60617971420288,63.4669303894043
0.5,64.37739729881287,62.62516975402832,63.43897581100464
0.6,64.38151597976685,62.617307901382446,63.43572735786438
0.7,64.23463225364685,62.509310245513916,63.30938935279846
0.8,64.35285806655884,62.579554319381714,63.40365409851074
0.9,64.82594013214111,62.8895103931427,63.79113793373108
1.0,64.86496925354004,62.995558977127075,63.860976696014404
