Dataset,doc2sum_mean,doc2sum_std,doc2sum_min,doc2sum_max,doc2sum_median,sum2doc_mean,sum2doc_std,sum2doc_min,sum2doc_max,sum2doc_median
flat_1024,-2.90231598842144,0.41191463361895037,-4.7095417976379395,-1.463483214378357,-2.897308349609375,-3.584013195157051,0.7244352605738289,-6.384172439575195,-1.1863305568695068,-3.5748485326766968
flat_overlap,-2.90751151239872,0.41518476832827456,-4.280217170715332,-1.463483214378357,-2.8924211263656616,-3.6011330213546753,0.7273439020325967,-6.418952941894531,-1.1335384845733645,-3.6152361631393433
treesum,-2.8937417652606965,0.4045762805714065,-4.384739875793457,-1.179001808166504,-2.8863282203674316,-3.6214611437320707,0.7087874131689217,-6.406247615814209,-1.1066502332687378,-3.621220350265503
