sample_id,flat_1024_doc2sum,flat_1024_sum2doc,flat_overlap_doc2sum,flat_overlap_sum2doc,treesum_doc2sum,treesum_sum2doc
3,-2.9297068119049072,-2.9297068119049072,-3.295712471008301,-3.295712471008301,-2.7293038368225098,-2.7293038368225098
4,-2.6480910778045654,-2.6480910778045654,-2.632265329360962,-2.632265329360962,-3.0096914768218994,-3.0096914768218994
9,-2.7497119903564453,-2.7497119903564453,-2.6873154640197754,-2.6873154640197754,-2.6248481273651123,-2.6248481273651123
13,-2.4503560066223145,-2.4503560066223145,-2.4503560066223145,-2.4503560066223145,-2.360797166824341,-2.360797166824341
17,-2.2162094116210938,-2.2162094116210938,-2.2162094116210938,-2.2162094116210938,-2.5683863162994385,-2.5683863162994385
21,-3.166419744491577,-3.166419744491577,-2.6422207355499268,-2.6422207355499268,-2.9355549812316895,-2.9355549812316895
26,-2.7337679862976074,-2.7337679862976074,-2.6553707122802734,-2.6553707122802734,-2.649484395980835,-2.649484395980835
29,-2.442681312561035,-2.442681312561035,-3.202598810195923,-3.202598810195923,-2.5602352619171143,-2.5602352619171143
45,-2.71763014793396,-2.71763014793396,-3.522676706314087,-3.522676706314087,-2.9383962154388428,-2.9383962154388428
48,-2.9705162048339844,-2.9705162048339844,-2.9705166816711426,-2.9705166816711426,-2.8182013034820557,-2.8182013034820557
53,-2.9613828659057617,-2.9613828659057617,-2.8216207027435303,-2.8216207027435303,-2.7694814205169678,-2.7694814205169678
58,-2.251149892807007,-2.251149892807007,-2.2511494159698486,-2.2511494159698486,-2.5099494457244873,-2.5099494457244873
64,-2.468338966369629,-2.468338966369629,-2.963923692703247,-2.963923692703247,-2.9243528842926025,-2.9243528842926025
76,-2.4442193508148193,-2.4442193508148193,-2.4442193508148193,-2.4442193508148193,-2.6821069717407227,-2.6821069717407227
79,-3.0192012786865234,-3.0192012786865234,-2.651634454727173,-2.651634454727173,-2.8114843368530273,-2.8114843368530273
83,-3.725554943084717,-3.725554943084717,-3.725555181503296,-3.725555181503296,-2.760985851287842,-2.760985851287842
94,-3.724714517593384,-3.724714517593384,-3.744781494140625,-3.744781494140625,-3.503305673599243,-3.503305673599243
100,-3.3836312294006348,-3.3836312294006348,-3.1883809566497803,-3.1883809566497803,-3.21620512008667,-3.21620512008667
103,-2.537490129470825,-2.537490129470825,-2.5374903678894043,-2.5374903678894043,-2.9084959030151367,-2.9084959030151367
112,-2.404448986053467,-2.404448986053467,-2.404448986053467,-2.404448986053467,-2.2688159942626953,-2.2688159942626953
115,-2.513575792312622,-2.513575792312622,-2.513575792312622,-2.513575792312622,-2.738295316696167,-2.738295316696167
120,-3.0658631324768066,-3.0658631324768066,-3.46809720993042,-3.46809720993042,-2.8705220222473145,-2.8705220222473145
141,-2.7175161838531494,-2.7175161838531494,-2.7175161838531494,-2.7175161838531494,-2.936864137649536,-2.936864137649536
158,-2.4494128227233887,-2.4494128227233887,-2.4494128227233887,-2.4494128227233887,-2.710317373275757,-2.710317373275757
159,-2.804201602935791,-2.804201602935791,-2.804201364517212,-2.804201364517212,-2.7675323486328125,-2.7675323486328125
160,-2.3727164268493652,-2.3727164268493652,-2.372716188430786,-2.372716188430786,-3.036085844039917,-3.036085844039917
166,-2.728398561477661,-2.728398561477661,-2.5923733711242676,-2.5923733711242676,-3.010679006576538,-3.010679006576538
169,-3.758963108062744,-3.758963108062744,-3.76908802986145,-3.76908802986145,-2.5464820861816406,-2.5464820861816406
172,-2.499689817428589,-2.499689817428589,-2.499690055847168,-2.499690055847168,-2.656665802001953,-2.656665802001953
193,-2.5761289596557617,-2.5761289596557617,-2.7291817665100098,-2.7291817665100098,-2.88207745552063,-2.88207745552063
200,-3.0522043704986572,-3.0522043704986572,-3.0346426963806152,-3.0346426963806152,-3.181239366531372,-3.181239366531372
203,-2.197026252746582,-2.197026252746582,-2.1887013912200928,-2.1887013912200928,-2.2820332050323486,-2.2820332050323486
204,-3.706672191619873,-3.706672191619873,-3.380671262741089,-3.380671262741089,-2.264045238494873,-2.264045238494873
210,-2.253716230392456,-2.253716230392456,-2.253716230392456,-2.253716230392456,-2.4005401134490967,-2.4005401134490967
211,-2.5364632606506348,-2.5364632606506348,-2.6944222450256348,-2.6944222450256348,-3.040342330932617,-3.040342330932617
217,-2.391796112060547,-2.391796112060547,-2.391796588897705,-2.391796588897705,-2.60239577293396,-2.60239577293396
220,-2.452620029449463,-2.452620029449463,-2.4864327907562256,-2.4864327907562256,-2.0906691551208496,-2.0906691551208496
222,-2.3551025390625,-2.3551025390625,-2.355278730392456,-2.355278730392456,-2.760275363922119,-2.760275363922119
226,-2.5767359733581543,-2.5767359733581543,-2.671787738800049,-2.671787738800049,-2.4904894828796387,-2.4904894828796387
235,-2.5508809089660645,-2.5508809089660645,-2.5508811473846436,-2.5508811473846436,-2.75654935836792,-2.75654935836792
236,-2.983917474746704,-2.983917474746704,-2.9674625396728516,-2.9674625396728516,-2.8945086002349854,-2.8945086002349854
237,-2.8540313243865967,-2.8540313243865967,-2.44759464263916,-2.44759464263916,-2.3163444995880127,-2.3163444995880127
244,-2.582980155944824,-2.582980155944824,-2.42122745513916,-2.42122745513916,-2.532360792160034,-2.532360792160034
254,-3.168710947036743,-3.168710947036743,-3.1573407649993896,-3.1573407649993896,-2.722823143005371,-2.722823143005371
