,doc2sum_mean,doc2sum_std,doc2sum_min,doc2sum_max,doc2sum_median,sum2doc_mean,sum2doc_std,sum2doc_min,sum2doc_max,sum2doc_median
flat_1024,-2.902315920829773,0.41191466793039355,-4.709542751312256,-1.4634826183319092,-2.897308111190796,-2.902315920829773,0.41191466793039355,-4.709542751312256,-1.4634826183319092,-2.897308111190796
flat_overlap,-2.9075114359855654,0.41518477631126166,-4.280217170715332,-1.4634826183319092,-2.8924208879470825,-2.9075114359855654,0.41518477631126166,-4.280217170715332,-1.4634826183319092,-2.8924208879470825
treesum,-2.893741689324379,0.40457627992257944,-4.384739875793457,-1.179002046585083,-2.8863284587860107,-2.893741689324379,0.40457627992257944,-4.384739875793457,-1.179002046585083,-2.8863284587860107
