,alignscore_mean,alignscore_std,alignscore_min,alignscore_max,alignscore_median
flat_1024,0.08581569262081758,0.10933810625591607,0.0004201852425467223,0.7426567673683167,0.03472214378416538
flat_overlap,0.08273523557756562,0.10893097026017345,0.0002742529904935509,0.7426567673683167,0.027894414961338043
treesum,0.08645606202370254,0.11026214482700902,0.0003606142126955092,0.6857995986938477,0.03167594410479069
