model,n_samples,bertscore_precision_mean,bertscore_precision_std,bertscore_precision_median,bertscore_recall_mean,bertscore_recall_std,bertscore_recall_median,bertscore_f1_mean,bertscore_f1_std,bertscore_f1_median,bertscore_f1_min,bertscore_f1_max
PRIMERA,2500,87.32440273132325,2.6983634316701344,87.27884292602539,85.11574917907714,2.36942601164388,85.00494766235352,86.19639423522949,2.3609832178039465,86.17485046386719,79.36241912841797,99.61453247070312
PEGASUS,2500,87.26060287170411,2.952838194430291,87.25112533569336,86.6569359588623,2.618072320201229,86.63618087768555,86.94608180847167,2.6025970426909906,86.94915008544922,74.05656433105469,100.00040435791016
BART,2500,86.75590883178711,2.3954155701163455,86.8800277709961,84.02856433105468,2.1021517950510673,84.00514602661133,85.36213746643067,2.0821625178418497,85.43465805053711,76.71515655517578,95.27967834472656
TreeSum,2500,87.21531549682618,2.557486796283701,87.26153945922852,86.20139134521484,2.384081774892939,86.23026657104492,86.69619329528808,2.3026865850775113,86.76760864257812,79.4619140625,97.68644714355469
