sample_id,PRIMERA_bertscore_precision,PRIMERA_bertscore_recall,PRIMERA_bertscore_f1,PEGASUS_bertscore_precision,PEGASUS_bertscore_recall,PEGASUS_bertscore_f1,BART_bertscore_precision,BART_bertscore_recall,BART_bertscore_f1,TreeSum_bertscore_precision,TreeSum_bertscore_recall,TreeSum_bertscore_f1
0,89.21834564208984,87.85330200195312,88.53055572509766,85.5960464477539,88.16699981689453,86.86250305175781,85.70899963378906,85.26883697509766,85.48835754394531,89.92354583740234,87.78665161132812,88.84224700927734
1,88.41068267822266,86.16685485839844,87.27434539794922,87.75467681884766,87.15066528320312,87.45162200927734,89.02376556396484,87.3180160522461,88.16264343261719,86.22956085205078,85.42872619628906,85.82727813720703
2,88.193603515625,86.86007690429688,87.52175903320312,86.15740966796875,87.25433349609375,86.702392578125,87.57624053955078,86.31211853027344,86.93958282470703,81.58505249023438,86.5267105102539,83.98324584960938
5,89.89221954345703,85.6339340209961,87.71142578125,88.7481689453125,89.63863372802734,89.19117736816406,88.36799621582031,84.73377227783203,86.51273345947266,88.412109375,88.01406860351562,88.21263885498047
7,84.84297180175781,82.00433349609375,83.39950561523438,89.99136352539062,88.36141967773438,89.1689453125,88.39962768554688,84.72406005859375,86.52281951904297,89.1585464477539,87.09502410888672,88.11470794677734
8,80.62305450439453,78.92402648925781,79.76448822021484,81.09130859375,79.01651000976562,80.04045867919922,80.87565612792969,79.09471893310547,79.97528076171875,84.57386016845703,81.77055358886719,83.14859008789062
10,96.01756286621094,92.01779174804688,93.97513580322266,97.62272644042969,93.26060485839844,95.3918228149414,93.2303466796875,90.99267578125,92.09791564941406,97.54621887207031,93.2020034790039,95.32464599609375
11,85.34811401367188,80.58390808105469,82.89761352539062,85.71746063232422,82.71361541748047,84.18875122070312,85.66633605957031,81.92864990234375,83.75580596923828,85.24903106689453,83.35023498535156,84.2889404296875
15,87.6091537475586,83.9049072265625,85.71702575683594,88.99508666992188,85.27684020996094,87.09629821777344,88.5230941772461,83.01541137695312,85.68083953857422,88.7652359008789,85.98958587646484,87.3553695678711
16,88.24374389648438,83.9979019165039,86.06849670410156,89.65352630615234,87.53556823730469,88.5818862915039,89.80839538574219,84.85391235351562,87.2608871459961,89.77338409423828,88.10578155517578,88.93175506591797
