alpha,num_samples,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
0.0,100,45.316975648572985,16.00107432881808,22.40409797216993,22.460365750573974,86.84168457984924,86.03098392486572,86.42643690109253
0.1,100,45.55446929624837,16.194583025440945,22.494161602063045,22.58221842744398,86.93429827690125,86.07291579246521,86.49381995201111
0.2,100,45.465684587509145,16.093210421334426,22.350040915232956,22.443799241745573,86.91586256027222,86.04782223701477,86.4723801612854
0.3,100,45.100753218928475,15.7520528982061,22.181866999675393,22.262971952362907,86.84766888618469,85.98384857177734,86.40635013580322
0.4,100,45.320655836181395,15.80668683365759,22.203520547213213,22.26612973828443,86.86237931251526,85.9975278377533,86.41989827156067
0.5,100,45.38946417078037,15.65775209244779,22.125960523755584,22.18138352519899,86.85653805732727,86.00878715515137,86.4236056804657
0.6,100,45.406269372116896,15.715393401561512,22.077856790430666,22.13468392330367,86.83329820632935,85.99231839179993,86.40377521514893
0.7,100,45.24071167267453,15.553370789164733,21.900163496252762,21.96916789302237,86.78566813468933,85.94945669174194,86.35839223861694
0.8,100,45.26525715963132,15.605472486696122,22.024738770416473,22.127641118871455,86.80940866470337,85.95609068870544,86.37353777885437
0.9,100,45.78754527144602,16.287531759952603,22.67057571968733,22.747775137765615,86.94368004798889,86.06365919113159,86.49427890777588
1.0,100,45.88820757381461,16.485277882120847,22.65417714840113,22.72832139582091,86.96311712265015,86.11195087432861,86.52788400650024
