sample_id,flat_1024_fluency,flat_overlap_fluency,treesum_fluency
2253,0.9502570130600926,0.9502570155726862,0.9604547440539687
2263,0.7793031241081965,0.8127811216754373,0.9104737660704142
2265,0.955797418482217,0.9557974015944124,0.9593739170046662
2266,0.9203566303918964,0.9203566437458716,0.9484478145545752
2271,0.9595824643466994,0.9538337920806547,0.9393338335059856
2276,0.9588341224439647,0.9591717567587125,0.9539907179112587
2277,0.9562811974738648,0.9562811974738648,0.9403808572998286
2278,0.9568206545960365,0.9577859038572641,0.9657109549054883
2279,0.9267969056561647,0.9267968872096727,0.8524084110544772
2281,0.8589026288451211,0.8589025686538703,0.9506785356240831
2282,0.6704081715218769,0.6623091071735635,0.9552054853446179
2284,0.9484300230909717,0.95877346773073,0.8040856466512676
2286,0.9047073879351805,0.9047074086631672,0.9455109779068588
2290,0.950930192188533,0.950930192188533,0.8827147103028115
2308,0.9532245463380007,0.9535846602890226,0.9436412913289206
2316,0.9367006270443627,0.9439336785815791,0.9560537167972852
2318,0.9380933630721704,0.9380933719813811,0.9320738654688138
2324,0.943919823903738,0.8723833347014983,0.9535789399540476
2329,0.9487424017234946,0.9243485119786695,0.9556647776086594
2334,0.9368111303370381,0.9537120547913733,0.9576113895173572
2336,0.8173512105521066,0.904303284377266,0.9468114410474207
2340,0.8415222034097998,0.8607357600774452,0.831512209364697
2350,0.8004319790629961,0.9474961042414703,0.9405238655369991
2359,0.9573153926872723,0.9536295388565448,0.9591818701319856
2360,0.9434167173869271,0.9434167351244811,0.9509389582097392
2361,0.953606913253832,0.9536069307788794,0.9504281653065058
2364,0.8850040883320011,0.9419129727204669,0.9321851064445472
2370,0.9534385866271673,0.9574386105263791,0.8870241318266618
2385,0.857950539110231,0.8879233253941722,0.9450060994676888
2390,0.8502164208760604,0.9291850421282715,0.9427033852715919
2393,0.9550118886982994,0.9556809406457999,0.9581404833023658
2401,0.9390093060655529,0.9355554769616274,0.9546462720651099
2404,0.8582778700657827,0.9306876116622598,0.8077158013151032
2410,0.9617480587536222,0.9617480169677728,0.9183425090027489
2422,0.9611948365506114,0.9611948537249283,0.9377564604458488
2426,0.9503777963194024,0.7289042473943311,0.7315397339011217
2430,0.9459998029944796,0.8903793093883939,0.9494636811604262
2435,0.9622002932454325,0.9352539921796511,0.9483249650318101
2444,0.9596218529721113,0.9590075253895917,0.9572505731020663
2446,0.8228521478716087,0.9492002515901858,0.8607141668568602
2452,0.9520958381177854,0.9520958378268211,0.9315768350948205
2457,0.9517460884229196,0.9556224024180228,0.9479645315953501
2460,0.9070254660447007,0.9070254607746543,0.9209909441515818
2465,0.9609923940749114,0.7762577701553386,0.900358622042494
2470,0.9035883717166171,0.8960417720683289,0.948582171902667
2476,0.9499532353891266,0.8970190252840494,0.9478037917416161
2478,0.9611273202455285,0.9613722075345837,0.9490272203003866
2489,0.9539892419769698,0.9424627881614068,0.9539359907060764
2491,0.9449005931658592,0.9512699386709468,0.9418835133337021
2500,0.8711165773822576,0.739956748251466,0.8573462817229727
2501,0.9541800822770218,0.9541800926324406,0.9587550270680545
2508,0.9441945887823963,0.9531182693706207,0.9555788247765322
2511,0.9521520594011144,0.953061513594419,0.9417722029707116
2519,0.9423125753593227,0.9491828766534283,0.9216192952976636
2525,0.8169853047287254,0.8150957946380837,0.8123640682619391
2533,0.9502478199817631,0.9502478135482659,0.9465309056671989
2542,0.8026560393472786,0.8335729844370604,0.7269032612475065
2545,0.939656399855032,0.9378114765960002,0.8154531831137853
2548,0.9512958953523034,0.9512958763805939,0.9265157240739107
2553,0.9445892774761987,0.9379540171518299,0.9225465261295301
2555,0.8638248291180004,0.7733820916180041,0.9189259266170712
2569,0.9360553533708393,0.7931501564237678,0.9357382643631625
2571,0.9472592028538216,0.9469411724937661,0.9497369680349441
2573,0.9611812213711567,0.9610676365670233,0.958214885211422
2576,0.9543272403858392,0.9043209657965878,0.9381131107261498
2577,0.9506566088163462,0.9530168240543866,0.955276718030046
2584,0.9526789931957504,0.9526789857687736,0.9527166427196573
2590,0.9421962481223368,0.942196232044663,0.9572145537970455
2591,0.9105666575979134,0.7754735168806118,0.9133874118968163
2599,0.944303192606762,0.944303173879903,0.9308843256418685
2619,0.9483255007217899,0.9539952527150853,0.936583067646842
2630,0.9536649390882822,0.9536649462123297,0.9517733332186176
2639,0.9595250457089763,0.9595250422006644,0.9293339091186149
2640,0.9492243792341769,0.9509780451429719,0.9384498585029606
2648,0.9598298940388341,0.9598298866221955,0.9478112976307785
2655,0.9204969417278611,0.945153074103317,0.9521999334896477
2656,0.9473600959964833,0.9436521331797408,0.9077003504932938
2662,0.9563541501795555,0.956299978768488,0.9572219938504049
2672,0.8930289712742194,0.8382304579711208,0.9046130879663772
2677,0.9359552373670917,0.938868053508325,0.8864023382439183
2681,0.9580584923381048,0.950765854575794,0.9604201211096222
2689,0.900713065681649,0.9007130656530586,0.9561255003900312
2701,0.9505574507972855,0.8620134353820567,0.9519196322194408
2704,0.9630138577834061,0.9582482831694763,0.7792997370865534
2706,0.8951783312769362,0.8865588361905594,0.8600721742698405
2709,0.9254793134079111,0.9254793793753773,0.9437035630734891
2710,0.9553912301264931,0.956892753384481,0.9584997280033878
2712,0.9361835687178635,0.9278349011195355,0.9581254447379081
2721,0.8626428192797172,0.9397919680927971,0.9357976255505861
2730,0.8332599127536838,0.8332599127536838,0.7188637199660906
2732,0.9557078065401947,0.9557077921839129,0.9535259823899984
2745,0.9468812296316614,0.9441702239702126,0.9435420865596704
2751,0.8867432918146023,0.9430389611245179,0.9143300910104923
2753,0.9287121185316991,0.8516313559636708,0.9381583258990863
2755,0.9483946536526202,0.9222997343648842,0.8924615264466212
2757,0.8506144086006249,0.8254829251348028,0.853759436938574
2764,0.8513822266046424,0.8513823048673481,0.9014806164270561
2769,0.9510314138842477,0.9510314313358906,0.9502899669459061
