sample_id,flat_1024_alignscore,flat_overlap_alignscore,treesum_alignscore
1111,0.02508280798792839,0.03377643600106239,0.03977879881858826
1133,0.0009158626198768616,0.0009158626198768616,0.0034509599208831787
1143,0.005480831488966942,0.003983396105468273,0.013937658630311489
1148,0.2433881163597107,0.0975213274359703,0.14787109196186066
1165,0.018489932641386986,0.020025230944156647,0.002465785015374422
1170,0.0009877374395728111,0.001598817529156804,0.000880812294781208
1184,0.07864857465028763,0.20890764892101288,0.01893877610564232
1207,0.05167007818818092,0.04440682381391525,0.059645652770996094
1208,0.0024490496143698692,0.0024645463563501835,0.03395049273967743
1213,0.13192759454250336,0.0009800656698644161,0.12347916513681412
1220,0.002054468495771289,0.0031414497643709183,0.003154278267174959
1221,0.0008469584281556308,0.0038962895050644875,0.33329904079437256
1222,0.169035404920578,0.07142636924982071,0.1796983927488327
1235,0.22173909842967987,0.19966289401054382,0.12641704082489014
1242,0.2984834909439087,0.2607076168060303,0.2881578803062439
1248,0.1226273775100708,0.10038547217845917,0.1717238873243332
1251,0.0012725722044706345,0.08125890791416168,0.002965340157970786
1252,0.17077596485614777,0.17077596485614777,0.006878808606415987
1253,0.32546499371528625,0.2018837183713913,0.2153785228729248
1261,0.20792028307914734,0.20792028307914734,0.20229758322238922
1266,0.0006182553479447961,0.08244983106851578,0.0005048743332736194
1268,0.007424694485962391,0.007424694485962391,0.0006502173491753638
1273,0.08388244360685349,0.0963301807641983,0.018446259200572968
1282,0.19404351711273193,0.12178055942058563,0.1147250309586525
1286,0.0744650661945343,0.11791527271270752,0.10184216499328613
1289,0.0006981667247600853,0.0006712971371598542,0.0005206895293667912
1292,0.12549225986003876,0.02263469807803631,0.10048220306634903
1295,0.0010157519718632102,0.0007820083992555737,0.0011675835121423006
1297,0.016006754711270332,0.016006754711270332,0.011538521386682987
1303,0.25282928347587585,0.25218135118484497,0.1859704703092575
1304,0.19193540513515472,0.020450308918952942,0.06759590655565262
1307,0.0006940829916857183,0.000570067495573312,0.00045649203821085393
1310,0.27821215987205505,0.28624776005744934,0.28606027364730835
1317,0.06362458318471909,0.06362458318471909,0.06380190700292587
1323,0.0037795836105942726,0.012680495157837868,0.057161249220371246
1331,0.16510194540023804,0.19438454508781433,0.005052368622273207
1332,0.20113667845726013,0.20113667845726013,0.21443673968315125
1338,0.22822299599647522,0.22822299599647522,0.2630321979522705
1341,0.0013717872789129615,0.021037468686699867,0.0026707781944423914
1348,0.2514770030975342,0.252959668636322,0.25297367572784424
1352,0.004878731910139322,0.004878731910139322,0.06870332360267639
1359,0.0026301939506083727,0.001145378453657031,0.00139710889197886
1362,0.16011720895767212,0.16011720895767212,0.14743532240390778
1374,0.20582132041454315,0.20582132041454315,0.03086232580244541
1390,0.008613943122327328,0.0006891347584314644,0.12794926762580872
1401,0.00242066802456975,0.005832399241626263,0.009079568088054657
1423,0.022537892684340477,0.02914661355316639,0.026640091091394424
1425,0.05084395781159401,0.017319831997156143,0.28826308250427246
1435,0.487777978181839,0.487777978181839,0.19217701256275177
1440,0.009740401059389114,0.009740401059389114,0.06172213703393936
1442,0.09155044704675674,0.000870386662427336,0.05138392001390457
1450,0.0007267150213010609,0.0011916736839339137,0.000863091554492712
1462,0.08365225791931152,0.1233411580324173,0.030921097844839096
1463,0.003681823844090104,0.02787008322775364,0.004383879713714123
1469,0.001616570632904768,0.001616570632904768,0.0018257535994052887
1486,0.000518794113304466,0.0042083775624632835,0.09994561970233917
1488,0.001085698022507131,0.007951314561069012,0.0658116489648819
1489,0.08594955503940582,0.08594955503940582,0.0006746202707290649
1503,0.14609332382678986,0.14609332382678986,0.023257598280906677
1510,0.10856050252914429,0.09686674177646637,0.09853366017341614
1516,0.013696667738258839,0.0045051914639770985,0.004833359736949205
1522,0.0005817011115141213,0.0010872649727389216,0.000434750021668151
1536,0.002657234203070402,0.002657234203070402,0.004238619469106197
1555,0.0007990690064616501,0.0007737564155831933,0.023918516933918
1557,0.005286391358822584,0.000634994765277952,0.014705265872180462
1558,0.27714309096336365,0.27714309096336365,0.14087846875190735
1559,0.2017708569765091,0.1999891698360443,0.10130870342254639
1561,0.07955709099769592,0.20282220840454102,0.19556228816509247
1565,0.1326577514410019,0.04305006563663483,0.07346288114786148
1569,0.1065511703491211,0.1065511703491211,0.0517660416662693
1571,0.0021893875673413277,0.0017461414681747556,0.0006905007176101208
1575,0.0008622126770205796,0.000750028237234801,0.0007064462406560779
1577,0.002691657282412052,0.003002491081133485,0.21925745904445648
1582,0.0020157534163445234,0.022161534056067467,0.008289244025945663
1590,0.22250692546367645,0.20029735565185547,0.182035431265831
1592,0.00063938251696527,0.0016890880651772022,0.4120217263698578
1614,0.009179752320051193,0.004735712893307209,0.0019346921471878886
1620,0.2941564619541168,0.2941564619541168,0.08573749661445618
1624,0.08349189162254333,0.08349189162254333,0.3170062303543091
1628,0.1432373970746994,0.1432373970746994,0.043087348341941833
1629,0.09363154321908951,0.014196286909282207,0.04801340401172638
1631,0.11446557193994522,0.11446557193994522,0.08998368680477142
1633,0.11112381517887115,0.11111867427825928,0.10032469034194946
1634,0.0008026344003155828,0.0008026344003155828,0.03751259297132492
1647,0.11549176275730133,0.13416601717472076,0.0040728021413087845
1667,0.10400605946779251,0.0002742529904935509,0.4769822657108307
1673,0.0010112200397998095,0.0008154958486557007,0.002619560109451413
1694,0.12407820671796799,0.12407820671796799,0.09700328856706619
1702,0.012283003889024258,0.012283003889024258,0.001664081122726202
1716,0.0008847853750921786,0.0008847853750921786,0.005781481973826885
1720,0.0015150305116549134,0.0011213519610464573,0.003170982003211975
1721,0.12653902173042297,0.001033665845170617,0.12578310072422028
1725,0.12534135580062866,0.14318668842315674,0.11727523058652878
1728,0.18035273253917694,0.18035273253917694,0.18049012124538422
1733,0.0004442341160029173,0.0004442341160029173,0.000581481377594173
1735,0.2486865222454071,0.12436657398939133,0.16928604245185852
1737,0.0011705487268045545,0.0012828657636418939,0.01095566526055336
1741,0.2026812732219696,0.2564965486526489,0.15181070566177368
1746,0.1997360736131668,0.1997360736131668,0.2494157999753952
1750,0.16976936161518097,0.19219987094402313,0.14300569891929626
1751,0.15544632077217102,0.00040412810631096363,0.09783944487571716
1752,0.0032105736900120974,0.0014376306207850575,0.0046293847262859344
1755,0.04462721198797226,0.07295733690261841,0.11243106424808502
1763,0.32476046681404114,0.32476046681404114,0.0831531509757042
1772,0.12838532030582428,0.12838532030582428,0.2922832667827606
1783,0.04945816472172737,0.09592823684215546,0.14572010934352875
1785,0.08772941678762436,0.08772731572389603,0.09131673723459244
1791,0.14312054216861725,0.0005361597868613899,0.2002687156200409
1792,0.019894788041710854,0.12070153653621674,0.0036039717961102724
1796,0.0036218620371073484,0.0031843578908592463,0.01380310207605362
1797,0.002153563080355525,0.0009336462244391441,0.11728037148714066
1799,0.09123529493808746,0.009226838126778603,0.10636033117771149
1804,0.0015055049443617463,0.13880868256092072,0.0014309677062556148
1805,0.11927217990159988,0.07837103307247162,0.05236639454960823
1806,0.08082681149244308,0.014373885467648506,0.0044167377054691315
1815,0.11852375417947769,0.11852375417947769,0.021180899813771248
1822,0.009924261830747128,0.009677435271441936,0.05543558672070503
1826,0.21063552796840668,0.2496553361415863,0.03526938706636429
1828,0.042120397090911865,0.026333490386605263,0.2620936632156372
1836,0.27600347995758057,0.032402101904153824,0.11062119901180267
1840,0.001790723530575633,0.0015103485202416778,0.009058423340320587
1841,0.04018455743789673,0.028015008196234703,0.5770869255065918
1848,0.22389677166938782,0.22389677166938782,0.018449487164616585
1863,0.0007966184057295322,0.1418306678533554,0.0004861831839662045
1864,0.003809190820902586,0.0032207362819463015,0.010807158425450325
1866,0.013805880211293697,0.013805880211293697,0.1707184761762619
1875,0.0016820818418636918,0.000570192642044276,0.00047383690252900124
1876,0.20550791919231415,0.20550791919231415,0.033245205879211426
1885,0.07137379795312881,0.07729142159223557,0.0005742304492741823
1888,0.0013697721296921372,0.0013697721296921372,0.0028302690479904413
1894,0.01717734895646572,0.002365483669564128,0.0022566989064216614
1896,0.0005255358992144465,0.0005408334545791149,0.0006740340613760054
1905,0.00043726866715587676,0.00044723396422341466,0.00049696204951033
1907,0.0970202162861824,0.005160076543688774,0.16837427020072937
1912,0.11576540023088455,0.007416561245918274,0.1583481878042221
1920,0.0017929686000570655,0.000904047570656985,0.008712849579751492
1924,0.020189980044960976,0.058237530291080475,0.026381932199001312
1926,0.0012270775623619556,0.0018593685235828161,0.1963922083377838
1936,0.5294526815414429,0.5294526815414429,0.3361894190311432
1939,0.0027767212595790625,0.0028636655770242214,0.0024649021215736866
1949,0.025716956704854965,0.032476045191287994,0.006474627647548914
1954,0.003147702431306243,0.07542125880718231,0.003934010863304138
1955,0.07826539129018784,0.012277216650545597,0.04231593757867813
1959,0.0012163786450400949,0.001305246027186513,0.00042469255276955664
1960,0.0009570691036060452,0.0008624554029665887,0.00047061778604984283
1961,0.08280623704195023,0.08273906260728836,0.07183308154344559
1964,0.0007915269816294312,0.003641394665464759,0.0047609442844986916
1968,0.06365910917520523,0.07261361926794052,0.004248982761055231
1973,0.09440194815397263,0.10046304762363434,0.0029299359302967787
1977,0.11843246966600418,0.0009832101641222835,0.088538259267807
1989,0.015424640849232674,0.06815548241138458,0.001298497780226171
1990,0.04788744077086449,0.05344214662909508,0.06409096717834473
1993,0.14411655068397522,0.12618188560009003,0.1444421261548996
1996,0.0009711500606499612,0.000790581398177892,0.0024515141267329454
1997,0.20523390173912048,0.20523390173912048,0.23531213402748108
1998,0.14221195876598358,0.14221195876598358,0.11080396920442581
2001,0.01003623940050602,0.01003623940050602,0.199895441532135
2005,0.14380577206611633,0.0019225525902584195,0.2460799515247345
2006,0.1889307051897049,0.1889307051897049,0.08912470191717148
2011,0.0017145887250080705,0.001641595270484686,0.0010632495395839214
2016,0.007428196724504232,0.007428196724504232,0.03229571506381035
2020,0.3299432098865509,0.3299432098865509,0.43777909874916077
2025,0.0006080202292650938,0.0010211964836344123,0.13453999161720276
2030,0.17263397574424744,0.17263397574424744,0.196311816573143
2032,0.058200903236866,0.058200903236866,0.0007691750070080161
2033,0.0005510767223313451,0.0011906042927876115,0.19326511025428772
2036,0.0034997835755348206,0.0025379725266247988,0.0023488288279622793
2041,0.09499602019786835,0.0797680988907814,0.10287531465291977
2044,0.3120335042476654,0.342679500579834,0.2244228571653366
2046,0.2033941000699997,0.34557777643203735,0.2140965312719345
2051,0.04759508743882179,0.009362123906612396,0.0035707023926079273
2057,0.037233516573905945,0.005660948809236288,0.11703980714082718
2059,0.0013553848257288337,0.12268014997243881,0.1264113187789917
2066,0.0010537427151575685,0.0010537427151575685,0.004073093179613352
2067,0.14304174482822418,0.0010645975125953555,0.00043145273230038583
